iter	Passed	Remaining
0	168	168706
1	179	89448
2	186	62065
3	193	48255
4	201	40003
5	207	34410
6	211	30039
7	215	26759
8	219	24201
9	223	22149
10	227	20495
11	232	19115
12	236	17930
13	240	16935
14	244	16081
15	248	15311
16	253	14637
17	257	14056
18	262	13535
19	266	13039
20	270	12603
21	274	12206
22	278	11823
23	282	11477
24	286	11183
25	290	10888
26	294	10612
27	298	10350
28	302	10134
29	306	9914
30	310	9708
31	314	9513
32	318	9337
33	322	9163
34	326	9000
35	330	8849
36	334	8718
37	338	8577
38	342	8445
39	347	8339
40	352	8235
41	356	8139
42	360	8033
43	365	7932
44	369	7843
45	373	7749
46	378	7665
47	382	7580
48	386	7499
49	390	7428
50	396	7383
51	401	7311
52	405	7238
53	409	7166
54	412	7094
55	416	7025
56	421	6970
57	425	6917
58	430	6861
59	435	6820
60	439	6766
61	443	6710
62	448	6676
63	453	6628
64	457	6577
65	461	6530
66	466	6492
67	470	6451
68	474	6404
69	479	6370
70	483	6327
71	487	6286
72	491	6244
73	496	6215
74	500	6177
75	505	6142
76	509	6111
77	514	6086
78	519	6053
79	523	6017
80	528	5992
81	532	5957
82	536	5924
83	540	5898
84	545	5870
85	549	5840
86	554	5815
87	558	5790
88	563	5766
89	567	5739
90	572	5714
91	576	5690
92	580	5663
93	585	5642
94	590	5621
95	594	5600
96	599	5578
97	603	5554
98	608	5533
99	612	5511
100	617	5495
101	621	5475
102	626	5455
103	630	5436
104	635	5416
105	639	5397
106	644	5377
107	648	5356
108	652	5336
109	657	5321
110	662	5304
111	666	5284
112	670	5266
113	676	5256
114	680	5239
115	685	5221
116	690	5209
117	694	5191
118	699	5178
119	704	5166
120	709	5151
121	713	5134
122	718	5121
123	722	5104
124	727	5089
125	731	5073
126	736	5060
127	740	5043
128	744	5029
129	749	5018
130	754	5005
131	759	4991
132	763	4979
133	768	4968
134	774	4959
135	780	4959
136	786	4952
137	790	4940
138	795	4925
139	800	4914
140	804	4902
141	809	4892
142	814	4879
143	818	4867
144	823	4854
145	827	4841
146	832	4829
147	837	4818
148	841	4806
149	846	4794
150	851	4785
151	855	4772
152	859	4760
153	864	4751
154	869	4739
155	873	4726
156	878	4715
157	883	4707
158	887	4696
159	892	4684
160	897	4675
161	901	4663
162	905	4652
163	912	4652
164	917	4643
165	922	4636
166	928	4631
167	933	4620
168	937	4609
169	942	4602
170	947	4592
171	951	4581
172	956	4571
173	961	4562
174	965	4552
175	970	4542
176	974	4532
177	980	4525
178	984	4517
179	989	4507
180	994	4499
181	998	4488
182	1003	4479
183	1008	4470
184	1012	4460
185	1017	4451
186	1021	4440
187	1026	4433
188	1031	4424
189	1035	4414
190	1040	4406
191	1045	4399
192	1050	4391
193	1054	4382
194	1059	4374
195	1064	4365
196	1068	4356
197	1073	4348
198	1078	4341
199	1083	4332
200	1088	4326
201	1094	4321
202	1098	4312
203	1103	4303
204	1108	4296
205	1112	4287
206	1116	4278
207	1121	4270
208	1126	4261
209	1130	4253
210	1136	4249
211	1140	4241
212	1145	4232
213	1150	4224
214	1155	4217
215	1159	4208
216	1164	4201
217	1171	4202
218	1175	4193
219	1180	4186
220	1185	4179
221	1190	4171
222	1194	4163
223	1199	4156
224	1204	4148
225	1208	4139
226	1212	4130
227	1217	4122
228	1222	4114
229	1226	4106
230	1231	4098
231	1235	4091
232	1240	4084
233	1245	4075
234	1249	4067
235	1254	4059
236	1258	4051
237	1263	4044
